id,surgery,age,hospital_number,rectal_temp,pulse,respiratory_rate,temp_of_extremities,peripheral_pulse,mucous_membrane,capillary_refill_time,pain,peristalsis,abdominal_distention,nasogastric_tube,nasogastric_reflux,nasogastric_reflux_ph,rectal_exam_feces,abdomen,packed_cell_volume,total_protein,abdomo_appearance,abdomo_protein,surgical_lesion,lesion_1,lesion_2,lesion_3,cp_data,outcome
272,yes,adult,5290409,37.2,108,48,cold,reduced,pale_pink,more_3_sec,extreme_pain,hypomotile,moderate,slight,more_1_liter,5.4,decreased,distend_large,55,6.5,serosanguious,4.5,no,4205,0,0,yes,died
273,yes,adult,5287179,37.8,88,48,cool,reduced,pale_pink,less_3_sec,extreme_pain,absent,moderate,significant,,4.4,absent,distend_small,48,8.6,serosanguious,2.9,yes,2208,0,0,yes,died
274,yes,adult,528548,37.5,66,12,cool,reduced,bright_red,less_3_sec,mild_pain,hypomotile,,slight,,3,increased,distend_large,44,6,cloudy,3.6,yes,2124,0,0,yes,lived
275,no,young,529461,40.3,114,36,cool,reduced,bright_red,more_3_sec,depressed,hypomotile,severe,slight,,7,absent,distend_large,57,8.1,cloudy,2.3,yes,7400,0,0,yes,euthanized
276,yes,adult,529461,39.2,114,36,cool,reduced,pale_cyanotic,more_3_sec,depressed,hypomotile,slight,slight,,7,normal,distend_small,57,6.6,serosanguious,3.2,yes,2208,0,0,no,euthanized
277,yes,adult,535196,38.3,52,12,normal,normal,normal_pink,less_3_sec,mild_pain,hypomotile,slight,,more_1_liter,2,decreased,distend_small,41,61,clear,2,yes,2205,0,0,no,lived
278,no,adult,527677,39,86,20,cool,reduced,pale_cyanotic,,mild_pain,hypomotile,slight,,,5,absent,,48,6.6,serosanguious,5.3,yes,5400,0,0,yes,died
279,yes,adult,530233,37.3,64,48,cool,reduced,pale_pink,less_3_sec,severe_pain,hypomotile,moderate,slight,,4.5,normal,distend_large,48,7.6,cloudy,4.5,yes,3209,0,0,yes,died
280,no,young,535043,38.4,56,68,warm,increased,normal_pink,less_3_sec,depressed,hypomotile,,significant,,7,decreased,,41,77,clear,1,no,4300,0,0,no,lived
281,yes,adult,526639,38.2,64,40,cool,normal,bright_red,less_3_sec,mild_pain,hypomotile,slight,slight,more_1_liter,2,decreased,distend_large,41,6.6,cloudy,2,yes,300,0,0,yes,died
282,no,adult,5301219,39.6,72,48,cool,reduced,bright_red,more_3_sec,depressed,hypomotile,severe,,less_1_liter,4,absent,distend_large,66,7.5,cloudy,2.9,yes,1400,0,0,no,died
283,no,adult,528682,38,52,12,normal,normal,normal_pink,less_3_sec,alert,normal,,slight,,5.3,normal,normal,42,7.2,clear,5,no,3111,0,0,yes,lived
284,no,adult,529663,38.3,114,36,cool,reduced,pale_cyanotic,more_3_sec,depressed,absent,moderate,,,6.5,absent,distend_large,63,8.1,serosanguious,3.9,yes,3205,0,0,no,euthanized
285,yes,adult,528996,37.2,48,12,cool,reduced,normal_pink,less_3_sec,mild_pain,normal,slight,,more_1_liter,5.5,normal,distend_small,35,8,clear,5,yes,2112,0,0,yes,lived
286,yes,adult,535196,37.2,88,30,cool,reduced,pale_cyanotic,more_3_sec,depressed,absent,severe,,,2,,distend_large,57,66,serosanguious,2,yes,3205,0,0,no,euthanized
287,yes,adult,529703,39.2,64,90,normal,normal,bright_pink,less_3_sec,mild_pain,hypomotile,slight,slight,less_1_liter,7,absent,distend_small,39,6.7,serosanguious,4.5,yes,2208,0,0,yes,died
288,no,adult,530242,36.4,108,12,cool,reduced,pale_cyanotic,more_3_sec,depressed,hypomotile,moderate,slight,more_1_liter,7,decreased,normal,47,8.2,serosanguious,6,yes,2205,0,0,yes,died
289,yes,adult,529126,38,88,96,cool,reduced,pale_cyanotic,less_3_sec,depressed,hypomotile,slight,slight,less_1_liter,5.5,absent,distend_small,54,6.6,serosanguious,4.3,yes,2205,0,0,no,died
290,no,adult,528178,38.6,48,12,cool,normal,normal_pink,less_3_sec,alert,hypermotile,slight,,more_1_liter,5,normal,,43,7.2,clear,3.6,no,3111,0,0,yes,lived
291,yes,adult,529667,38.4,52,16,warm,normal,normal_pink,less_3_sec,alert,hypermotile,,slight,more_1_liter,5.5,,distend_large,45,7,clear,1,yes,7111,0,0,no,euthanized
292,yes,young,5290409,38.2,164,84,cold,normal,dark_cyanotic,more_3_sec,depressed,absent,severe,,less_1_liter,5,decreased,,48,7.4,serosanguious,3.4,yes,2208,0,0,yes,died
293,yes,adult,5287179,38.1,136,40,cool,reduced,normal_pink,less_3_sec,extreme_pain,hypomotile,moderate,significant,less_1_liter,4.4,absent,distend_small,47,4.9,serosanguious,3.9,yes,2209,0,0,no,died
294,yes,adult,529796,39.1,52,60,cool,reduced,bright_red,less_3_sec,depressed,hypomotile,moderate,slight,less_1_liter,1,decreased,distend_small,49,10.2,clear,1.6,yes,2124,0,0,no,lived
295,yes,adult,534163,38.6,60,44,cold,,dark_cyanotic,more_3_sec,depressed,absent,severe,,more_1_liter,2,normal,distend_large,55,80,serosanguious,2,yes,3205,0,0,no,euthanized
296,no,adult,527734,37.5,64,12,cool,reduced,bright_pink,less_3_sec,depressed,hypomotile,slight,,less_1_liter,4.5,normal,firm,43,6.6,cloudy,4.3,no,5400,0,0,yes,died
297,yes,adult,5287179,37.7,68,20,normal,normal,normal_pink,less_3_sec,mild_pain,hypomotile,slight,slight,,3,decreased,firm,39,7,clear,7,yes,3111,0,0,yes,lived
298,no,adult,529840,37.2,112,16,cool,reduced,bright_red,less_3_sec,depressed,hypomotile,slight,slight,more_1_liter,5,absent,distend_small,69,6,serosanguious,2.6,yes,2205,0,0,no,lived
299,no,adult,529642,38.5,48,16,normal,normal,normal_pink,less_3_sec,alert,hypomotile,,slight,more_1_liter,5,decreased,other,49,8.1,clear,5,no,3111,0,0,yes,lived
300,yes,adult,534753,38.6,60,30,cool,reduced,,less_3_sec,mild_pain,hypomotile,slight,,less_1_liter,1,absent,distend_small,33,70,serosanguious,1,yes,2209,0,0,yes,lived
301,yes,adult,534963,38.1,52,20,cool,reduced,pale_cyanotic,less_3_sec,severe_pain,absent,moderate,,more_1_liter,2,decreased,distend_small,26,75,cloudy,2,yes,2209,0,0,no,lived
302,yes,adult,529493,38.3,112,16,,,bright_red,more_3_sec,depressed,,,,more_1_liter,1,,distend_small,51,6,serosanguious,2,yes,2208,0,0,no,euthanized
303,yes,adult,534917,37.1,84,40,cool,,dark_cyanotic,more_3_sec,extreme_pain,absent,severe,,less_1_liter,2,absent,distend_large,75,81,clear,2,yes,1400,0,0,no,euthanized
304,yes,adult,528183,37.3,80,36,cool,reduced,pale_cyanotic,less_3_sec,extreme_pain,hypomotile,slight,,,2,increased,distend_small,44,6.8,serosanguious,10.1,yes,2205,0,0,yes,died
305,yes,adult,529667,39,64,36,cool,normal,pale_cyanotic,less_3_sec,mild_pain,hypomotile,,slight,less_1_liter,7,absent,distend_large,40,7,serosanguious,2,yes,2113,0,0,no,lived
306,yes,adult,533871,37.5,88,20,cool,reduced,pale_cyanotic,less_3_sec,,absent,moderate,slight,more_1_liter,2,absent,distend_small,35,65,serosanguious,2,yes,2208,0,0,no,euthanized
307,yes,young,529663,38,124,36,normal,reduced,bright_pink,less_3_sec,mild_pain,hypomotile,moderate,,,4,increased,,35,7.5,cloudy,4.3,yes,7111,0,0,yes,died
308,no,young,529461,38.6,108,40,normal,reduced,pale_pink,less_3_sec,depressed,hypomotile,moderate,,more_1_liter,5.5,absent,,37,7.8,serosanguious,4.3,no,1400,0,0,yes,died
309,yes,adult,530034,39.8,128,36,,reduced,pale_pink,more_3_sec,extreme_pain,hypomotile,moderate,slight,more_1_liter,5,absent,distend_large,52,6.5,serosanguious,3.4,yes,5400,0,0,no,died
310,yes,adult,529663,38,132,12,,reduced,bright_red,more_3_sec,depressed,absent,slight,slight,more_1_liter,7,absent,distend_small,75,7.5,serosanguious,6.6,yes,2206,0,0,yes,died
311,no,adult,534293,38.2,130,48,cold,reduced,pale_cyanotic,less_3_sec,depressed,absent,severe,,more_1_liter,2,,,65,82,cloudy,2,no,2209,1400,0,yes,euthanized
312,yes,adult,5291329,37.8,60,32,normal,normal,normal_pink,less_3_sec,mild_pain,hypomotile,moderate,slight,more_1_liter,2,decreased,distend_small,43,8,serosanguious,2.6,yes,2208,0,0,no,died
313,yes,adult,529160,38.3,132,32,,reduced,pale_cyanotic,more_3_sec,severe_pain,absent,severe,,more_1_liter,2,,,57,8.1,cloudy,2,no,3205,0,0,no,euthanized
314,yes,young,5287179,38.2,52,18,normal,normal,pale_pink,less_3_sec,severe_pain,hypomotile,,slight,more_1_liter,5.7,normal,,48,7.2,clear,2,yes,2205,0,0,no,died
315,yes,adult,534917,37.8,60,30,cool,reduced,pale_cyanotic,less_3_sec,extreme_pain,absent,slight,slight,,2,absent,,46,81,,2,yes,4205,0,0,no,lived
316,no,adult,529703,39,64,40,normal,normal,bright_red,less_3_sec,mild_pain,hypomotile,slight,slight,,7,decreased,firm,42,7.5,cloudy,2.3,no,5000,0,0,yes,lived
317,no,adult,533885,38.1,60,20,normal,,normal_pink,less_3_sec,mild_pain,hypomotile,slight,,less_1_liter,1,,distend_small,65,81,clear,2,yes,2205,0,0,no,euthanized
318,yes,adult,529518,39.2,86,28,cool,reduced,bright_red,less_3_sec,depressed,hypomotile,slight,,more_1_liter,5.4,decreased,distend_large,73,6.2,serosanguious,3.4,yes,5400,0,0,no,died
319,no,adult,529461,40.3,114,36,cool,reduced,pale_cyanotic,more_3_sec,depressed,absent,moderate,,,7,normal,distend_large,57,8,serosanguious,4.8,no,3025,0,0,yes,died
320,no,adult,534157,38.1,86,40,cool,,dark_cyanotic,less_3_sec,depressed,absent,moderate,significant,more_1_liter,2,,other,41,65,cloudy,2,no,2322,0,0,no,euthanized
321,yes,adult,528890,38.9,80,44,cool,reduced,pale_pink,more_3_sec,depressed,hypomotile,moderate,significant,less_1_liter,7,decreased,normal,54,54,serosanguious,2,yes,7111,0,0,no,died
322,yes,adult,530360,38.1,52,16,cool,reduced,pale_cyanotic,less_3_sec,severe_pain,absent,moderate,slight,less_1_liter,2,absent,distend_large,47,6.6,cloudy,2,yes,3209,0,0,no,euthanized
323,yes,adult,528548,38.1,66,12,cool,reduced,bright_red,less_3_sec,mild_pain,hypomotile,,slight,,3,increased,distend_large,44,6,clear,3.6,yes,2124,0,0,yes,lived
324,yes,adult,5297379,38.8,54,24,cold,normal,normal_pink,less_3_sec,depressed,hypomotile,moderate,slight,less_1_liter,6.5,decreased,distend_small,49,9,cloudy,4.3,yes,2206,0,0,yes,died
325,no,adult,529461,40.3,114,36,cool,reduced,bright_red,less_3_sec,depressed,hypomotile,moderate,slight,,7,absent,distend_large,57,8.7,cloudy,4.5,yes,7400,0,0,yes,died
326,yes,adult,533928,37.8,36,24,normal,,pale_pink,less_3_sec,,absent,severe,significant,,2,,,52,75,serosanguious,2,yes,2205,0,0,no,lived
327,yes,adult,533836,39.2,100,24,cold,reduced,bright_red,more_3_sec,depressed,absent,severe,,more_1_liter,2,absent,distend_large,68,64,serosanguious,2,yes,3205,0,0,no,lived
328,no,adult,528298,38,92,28,cold,reduced,normal_pink,less_3_sec,depressed,absent,,,more_1_liter,5,normal,normal,45,7.5,clear,5,no,8300,0,0,yes,euthanized
329,yes,adult,534519,38.8,52,16,normal,normal,,less_3_sec,mild_pain,absent,slight,,more_1_liter,1,decreased,distend_small,42,71,clear,2,no,2113,0,0,no,lived
330,no,adult,530002,38.2,129,51,cool,reduced,bright_red,more_3_sec,depressed,absent,moderate,,,2,absent,,57,8.5,serosanguious,2,yes,2208,0,0,yes,lived
331,yes,adult,534519,39,66,80,cool,reduced,bright_red,less_3_sec,mild_pain,hypomotile,slight,slight,,1,absent,distend_small,75,81,cloudy,2,yes,1400,0,0,yes,euthanized
332,yes,adult,5290409,38.2,40,84,cool,reduced,dark_cyanotic,less_3_sec,depressed,hypomotile,moderate,slight,less_1_liter,7,normal,normal,54,6.4,serosanguious,5.3,yes,7400,0,0,yes,died
333,no,adult,534787,38.3,120,32,cool,reduced,bright_red,more_3_sec,depressed,hypomotile,,,more_1_liter,2,,distend_large,64,86,clear,2,yes,4205,0,0,no,euthanized
334,yes,adult,521399,39.6,104,36,normal,reduced,dark_cyanotic,more_3_sec,severe_pain,absent,moderate,,more_1_liter,5,decreased,,59,7.5,cloudy,2.6,yes,1400,0,0,yes,died
335,yes,adult,534917,37.6,84,40,cool,reduced,normal_pink,less_3_sec,mild_pain,absent,slight,slight,more_1_liter,2,absent,distend_small,75,81,clear,2,yes,1400,0,0,yes,euthanized
336,no,adult,527518,38.2,52,12,normal,normal,pale_pink,more_3_sec,mild_pain,hypomotile,moderate,,more_1_liter,5.2,absent,distend_large,48,7.5,cloudy,3.3,yes,5205,0,0,yes,died
337,no,adult,535196,38.4,48,32,normal,normal,bright_red,less_3_sec,mild_pain,hypomotile,moderate,slight,more_1_liter,5,absent,distend_small,41,66,cloudy,3.3,yes,2207,0,0,yes,lived
338,yes,adult,529685,38.4,184,58,normal,normal,bright_pink,less_3_sec,depressed,hypomotile,,,,7,decreased,other,42,7.5,cloudy,1.7,yes,2124,0,0,yes,lived
339,no,adult,529272,38.6,52,16,normal,,pale_pink,less_3_sec,alert,,slight,slight,more_1_liter,5.5,normal,,55,7.2,cloudy,2.1,no,0,0,0,yes,lived
340,no,adult,529663,37.5,48,9,normal,normal,normal_pink,less_3_sec,alert,normal,,slight,more_1_liter,5.5,normal,firm,49,8,clear,5,no,0,0,0,yes,lived
341,yes,adult,528151,38.2,136,18,normal,reduced,bright_red,less_3_sec,mild_pain,hypomotile,slight,,more_1_liter,6.2,absent,distend_small,54,7.5,cloudy,5.3,yes,2112,0,0,yes,lived
342,yes,adult,530028,38.4,64,28,cool,reduced,bright_red,less_3_sec,mild_pain,absent,slight,slight,less_1_liter,4.5,absent,distend_small,50,7.2,serosanguious,3.6,yes,31110,0,0,yes,died
343,yes,adult,529183,37.9,48,14,normal,normal,normal_pink,less_3_sec,alert,hypomotile,slight,slight,more_1_liter,5.7,,,47,6.5,clear,5.3,no,3111,0,0,no,lived
344,no,adult,528548,38.1,54,28,normal,normal,pale_pink,less_3_sec,mild_pain,hypomotile,slight,,less_1_liter,3,,distend_small,43,7,clear,3.6,no,2124,0,0,yes,lived
345,no,adult,5297379,38,84,48,cool,reduced,pale_cyanotic,less_3_sec,extreme_pain,absent,moderate,,less_1_liter,4.5,,,49,6.6,serosanguious,2.6,yes,4205,0,0,no,died
346,no,adult,530301,38.6,104,12,cool,reduced,pale_pink,less_3_sec,depressed,hypomotile,slight,slight,more_1_liter,1,absent,distend_small,51,6.5,serosanguious,1,no,3111,0,0,no,euthanized
347,no,adult,527544,37.7,88,36,normal,normal,bright_pink,less_3_sec,depressed,hypermotile,,slight,more_1_liter,4,increased,firm,50,7,clear,3.9,no,0,0,0,no,lived
348,no,adult,529461,40.3,114,36,cool,reduced,normal_pink,more_3_sec,depressed,hypomotile,moderate,slight,more_1_liter,7,normal,distend_large,57,8.1,serosanguious,2.6,yes,7400,0,0,no,euthanized
349,yes,adult,529893,39.1,52,16,cool,,pale_pink,more_3_sec,mild_pain,hypomotile,slight,slight,less_1_liter,5.3,absent,distend_small,45,7.2,serosanguious,5.4,yes,2208,0,0,yes,lived
350,yes,adult,527709,38.9,48,24,cool,normal,normal_pink,less_3_sec,mild_pain,hypomotile,moderate,,less_1_liter,7,absent,distend_large,37,6.6,clear,1.4,yes,7209,0,0,yes,lived
351,no,adult,529796,37.5,48,28,warm,normal,normal_pink,less_3_sec,alert,hypermotile,,,less_1_liter,3.5,increased,other,44,9.1,clear,4.5,no,3111,0,0,yes,lived
352,yes,young,5294369,38.9,120,40,cool,reduced,bright_red,less_3_sec,mild_pain,hypomotile,moderate,slight,,7,,,47,54,serosanguious,2,yes,2124,0,0,no,lived
353,yes,adult,528523,38.1,66,12,cool,normal,bright_red,less_3_sec,mild_pain,hypomotile,slight,,,3,decreased,distend_small,50,7,cloudy,3.6,yes,2208,0,0,yes,lived
354,yes,adult,535043,39.3,88,51,cold,absent,dark_cyanotic,less_3_sec,mild_pain,absent,,,more_1_liter,2,,distend_small,66,13,serosanguious,2,yes,2113,0,0,yes,lived
355,no,young,528702,39.1,114,36,cool,normal,bright_pink,less_3_sec,depressed,hypomotile,moderate,slight,less_1_liter,4.4,normal,distend_small,47,6.2,cloudy,3.9,no,2208,0,0,yes,euthanized
356,no,adult,530478,38.1,60,16,normal,normal,normal_pink,less_3_sec,mild_pain,hypomotile,slight,slight,more_1_liter,6.5,normal,,42,7.2,clear,8,no,3111,0,0,yes,lived
357,yes,adult,5290759,37.2,108,30,,reduced,pale_pink,less_3_sec,depressed,absent,slight,slight,more_1_liter,5.3,,distend_small,40,8.6,serosanguious,4.3,yes,3111,0,0,yes,lived
358,yes,adult,528248,37.5,48,12,normal,normal,normal_pink,less_3_sec,depressed,hypomotile,,slight,more_1_liter,5.5,normal,distend_large,38,7.2,cloudy,2.6,no,31110,0,0,yes,lived
359,no,adult,528469,38.5,68,12,cool,normal,normal_pink,less_3_sec,mild_pain,hypomotile,slight,slight,,5.3,normal,distend_large,44,7,clear,1.6,no,0,0,0,yes,lived
360,yes,adult,530002,39.1,100,51,cool,reduced,dark_cyanotic,more_3_sec,extreme_pain,absent,severe,,,4.4,absent,distend_large,52,7.8,serosanguious,2.9,yes,2124,0,0,yes,lived
361,yes,adult,529642,40.8,108,12,cool,reduced,pale_cyanotic,less_3_sec,depressed,absent,slight,slight,,4,absent,distend_small,48,8.3,serosanguious,4.3,yes,2205,0,0,yes,died
362,no,adult,530002,38.5,52,51,normal,reduced,bright_pink,less_3_sec,alert,hypomotile,moderate,slight,more_1_liter,5.5,absent,distend_large,53,7.2,clear,2.9,yes,2124,0,0,no,lived
363,yes,adult,527758,38.1,84,20,,,normal_pink,less_3_sec,severe_pain,hypomotile,moderate,slight,more_1_liter,5,decreased,distend_small,49,9.1,cloudy,4.3,yes,2208,0,0,yes,lived
364,no,adult,529663,38.1,114,24,cool,reduced,dark_cyanotic,more_3_sec,depressed,hypomotile,moderate,,,4,absent,distend_small,57,6.1,serosanguious,4.4,yes,2208,0,0,yes,died
365,no,adult,529172,37.6,96,40,cool,reduced,pale_cyanotic,more_3_sec,severe_pain,absent,severe,slight,less_1_liter,4.5,decreased,distend_large,60,7.5,cloudy,2.8,no,4300,0,0,yes,died
366,yes,adult,534069,38.4,52,40,normal,reduced,bright_pink,less_3_sec,severe_pain,hypomotile,slight,slight,more_1_liter,7,absent,distend_small,40,7.5,cloudy,2.8,yes,1400,0,0,no,euthanized
367,yes,adult,535085,39.5,114,48,cool,reduced,dark_cyanotic,more_3_sec,depressed,absent,moderate,,more_1_liter,7,,,59,8,serosanguious,2,yes,2208,0,0,no,died
368,yes,adult,535043,37.4,100,51,cold,absent,dark_cyanotic,less_3_sec,severe_pain,absent,,,more_1_liter,2,,distend_small,66,13,serosanguious,2,yes,2208,0,0,no,euthanized
369,yes,adult,534933,37.5,84,36,cool,absent,bright_red,less_3_sec,depressed,absent,severe,,more_1_liter,2,absent,,48,64,cloudy,2,no,1400,0,0,no,euthanized
370,yes,adult,529428,39.4,108,24,cool,reduced,pale_cyanotic,more_3_sec,severe_pain,absent,moderate,slight,more_1_liter,7,,distend_small,52,6.5,serosanguious,4.5,yes,2124,0,0,no,euthanized
371,yes,adult,527933,38.1,48,16,normal,normal,normal_pink,less_3_sec,alert,hypomotile,,slight,,7,normal,distend_large,49,7.2,clear,8,yes,31110,0,0,yes,lived
372,no,adult,523190,38,112,36,cool,reduced,dark_cyanotic,more_3_sec,depressed,absent,moderate,slight,more_1_liter,5.2,absent,distend_small,73,8.5,serosanguious,8,yes,1400,0,0,yes,euthanized
373,no,adult,528729,38.1,48,24,normal,normal,pale_pink,less_3_sec,alert,normal,,slight,,7,normal,normal,49,8.5,clear,1.3,no,0,0,0,yes,lived
374,yes,adult,529667,39,64,36,cool,reduced,pale_cyanotic,more_3_sec,depressed,hypomotile,slight,slight,,7,normal,distend_large,59,8.5,serosanguious,2,yes,2113,0,0,no,lived
375,no,adult,529183,37.5,96,18,cold,reduced,dark_cyanotic,more_3_sec,depressed,hypomotile,moderate,slight,less_1_liter,4,decreased,distend_small,47,7.5,serosanguious,4.1,yes,2205,0,0,no,died
376,yes,adult,533928,37.3,60,24,normal,,pale_cyanotic,more_3_sec,,absent,severe,slight,,2,,distend_large,52,75,cloudy,2,yes,2205,0,0,yes,euthanized
377,yes,adult,529172,37.3,40,30,cool,reduced,pale_cyanotic,less_3_sec,severe_pain,absent,slight,slight,less_1_liter,6.5,absent,distend_small,51,8.1,serosanguious,4.3,yes,2208,0,0,yes,lived
378,yes,adult,5290482,38.2,52,20,cool,normal,bright_red,less_3_sec,alert,normal,,,more_1_liter,5,normal,distend_large,28,7.7,cloudy,4.3,yes,3111,0,0,yes,lived
379,yes,adult,530526,36.1,98,40,cool,reduced,pale_pink,less_3_sec,mild_pain,hypomotile,slight,significant,less_1_liter,7,absent,distend_small,47,7,serosanguious,3.2,yes,2208,0,0,yes,lived
380,yes,adult,533847,38.3,60,24,cool,reduced,pale_cyanotic,more_3_sec,extreme_pain,absent,severe,,,2,absent,distend_large,55,64,serosanguious,2,yes,3205,0,0,no,euthanized
381,yes,adult,5294369,38.7,100,20,normal,normal,normal_pink,less_3_sec,depressed,hypomotile,,slight,,7,normal,normal,40,7,clear,8,yes,3111,0,0,yes,lived
382,no,adult,528247,38,48,16,cool,reduced,pale_cyanotic,more_3_sec,alert,absent,slight,slight,,5,,other,48,7.2,clear,3.7,no,400,0,0,no,lived
383,yes,adult,528729,37,52,12,cool,normal,normal_pink,less_3_sec,mild_pain,normal,slight,slight,more_1_liter,5,normal,distend_small,44,8.1,cloudy,1.6,yes,2208,0,0,yes,lived
384,yes,adult,530251,38.6,88,14,cool,reduced,pale_pink,less_3_sec,mild_pain,absent,moderate,slight,less_1_liter,3.5,increased,distend_small,47,5.7,cloudy,3,yes,31110,0,0,yes,lived
385,yes,adult,533738,37.5,48,16,normal,normal,,less_3_sec,alert,normal,,slight,more_1_liter,5.5,,,36,56,cloudy,3.4,no,3113,0,0,no,lived
386,yes,adult,527706,37.8,84,32,cool,normal,pale_cyanotic,more_3_sec,severe_pain,absent,moderate,,more_1_liter,7,absent,distend_small,45,6.6,serosanguious,2.3,yes,2202,0,0,no,died
387,no,adult,521399,37.1,96,36,cool,normal,pale_cyanotic,more_3_sec,depressed,absent,slight,,more_1_liter,5,,distend_large,48,7.2,serosanguious,5.3,yes,1400,0,0,yes,died
388,yes,adult,534197,38.3,40,20,cool,reduced,normal_pink,less_3_sec,,hypomotile,moderate,slight,more_1_liter,1,normal,distend_small,41,60,serosanguious,2,yes,2209,0,0,no,euthanized
389,yes,adult,533836,37.8,100,48,cool,reduced,pale_cyanotic,more_3_sec,,absent,severe,,more_1_liter,2,,other,68,64,,2,yes,2205,0,0,no,euthanized
390,yes,adult,527698,38.5,164,36,cold,reduced,dark_cyanotic,less_3_sec,depressed,absent,slight,slight,,4,absent,distend_large,60,6.1,serosanguious,3.2,yes,3205,0,0,yes,died
391,yes,adult,528469,38.1,66,12,cool,reduced,bright_red,less_3_sec,severe_pain,hypomotile,,slight,,3,increased,distend_small,54,7.5,serosanguious,2.6,yes,2206,0,0,yes,died
392,yes,adult,527544,37.6,84,36,normal,reduced,pale_pink,less_3_sec,severe_pain,hypomotile,moderate,,more_1_liter,4.5,absent,distend_large,45,6.6,serosanguious,3.7,yes,12208,0,0,no,died
393,no,adult,529461,40.3,114,36,cool,reduced,normal_pink,more_3_sec,depressed,hypomotile,moderate,slight,,7,normal,distend_large,57,7.4,serosanguious,4.5,yes,3205,0,0,yes,died
394,yes,adult,534145,38.1,104,40,cool,normal,bright_red,more_3_sec,depressed,absent,slight,slight,more_1_liter,2,,,57,74,serosanguious,2,yes,2209,0,0,no,euthanized
395,yes,young,530693,37.8,96,21,cool,reduced,dark_cyanotic,less_3_sec,severe_pain,absent,moderate,significant,more_1_liter,4.5,,distend_large,44,7.4,serosanguious,4.7,yes,2112,0,0,yes,died
396,yes,adult,529461,37.9,84,36,cold,normal,normal_pink,less_3_sec,mild_pain,hypomotile,moderate,slight,less_1_liter,5.5,absent,distend_large,33,6.6,clear,10.1,yes,2205,0,0,no,died
397,yes,adult,528800,37.8,48,12,cool,normal,pale_cyanotic,less_3_sec,mild_pain,normal,slight,slight,more_1_liter,2,decreased,firm,50,7,serosanguious,5,yes,2205,0,0,yes,euthanized
398,yes,adult,529865,37.8,60,12,cool,reduced,normal_pink,less_3_sec,mild_pain,hypomotile,slight,significant,,6,decreased,distend_small,37,7,serosanguious,3.3,yes,2207,0,0,yes,lived
399,yes,adult,528548,38.3,96,28,cool,reduced,pale_cyanotic,more_3_sec,extreme_pain,absent,severe,,,4.3,absent,distend_large,65,7,serosanguious,2.8,yes,4205,0,0,yes,died
400,yes,adult,528570,38,66,12,cool,normal,bright_red,less_3_sec,severe_pain,hypomotile,,slight,,3,normal,distend_small,45,6,cloudy,2,yes,31110,0,0,yes,died
401,yes,adult,529373,38.7,48,16,cool,reduced,pale_cyanotic,less_3_sec,mild_pain,hypomotile,moderate,,,7,decreased,,44,6.6,serosanguious,2.3,yes,4205,0,0,yes,died
402,yes,adult,527563,37.6,72,30,normal,normal,pale_pink,less_3_sec,mild_pain,hypomotile,moderate,slight,more_1_liter,5.7,decreased,distend_large,48,6.8,,3.7,yes,5400,0,0,no,died
403,yes,young,5290409,38.1,66,12,normal,normal,bright_red,more_3_sec,mild_pain,hypomotile,,slight,more_1_liter,5,increased,,44,7.5,cloudy,2.6,yes,2112,0,0,yes,died
404,no,adult,529461,38.3,48,12,cool,normal,pale_cyanotic,less_3_sec,depressed,absent,slight,,more_1_liter,1.5,,firm,49,6,clear,2.6,no,5000,0,0,yes,lived
405,yes,adult,529399,38.1,88,12,cool,reduced,dark_cyanotic,less_3_sec,severe_pain,absent,slight,,more_1_liter,2,absent,distend_small,51,64,serosanguious,2,yes,2208,0,0,no,died
406,no,adult,528996,38.6,48,12,normal,normal,normal_pink,less_3_sec,alert,normal,,slight,more_1_liter,5,normal,normal,49,8.1,clear,5,no,0,0,0,yes,lived
407,yes,adult,534579,38.8,68,22,cool,reduced,bright_pink,less_3_sec,depressed,hypomotile,slight,slight,less_1_liter,2,absent,distend_small,75,81,,1,yes,2112,0,0,no,lived
408,yes,adult,535292,37.5,120,36,cold,reduced,dark_cyanotic,more_3_sec,,absent,moderate,,more_1_liter,2,absent,distend_large,69,82,clear,2,yes,3205,0,0,no,lived
409,no,adult,528620,38.3,52,16,warm,normal,normal_pink,less_3_sec,alert,normal,,,,4.3,normal,firm,37,7,clear,2.9,no,0,0,0,no,lived
410,yes,adult,529135,38.2,100,51,cool,reduced,pale_cyanotic,more_3_sec,extreme_pain,absent,severe,slight,more_1_liter,2,,distend_large,43,8.1,serosanguious,2,yes,4205,0,0,no,died
411,yes,adult,527526,36.1,96,21,cool,reduced,pale_pink,more_3_sec,depressed,absent,moderate,slight,more_1_liter,3,decreased,distend_small,48,6.6,serosanguious,3.6,yes,2209,0,0,yes,died
412,yes,adult,527463,37.5,104,18,normal,normal,dark_cyanotic,more_3_sec,mild_pain,absent,slight,slight,less_1_liter,5,,distend_small,69,8,serosanguious,5.3,yes,2208,0,0,yes,lived
413,yes,adult,534925,38.6,104,40,cold,reduced,bright_red,more_3_sec,depressed,hypomotile,moderate,slight,more_1_liter,2,absent,distend_small,71,85,,2,yes,2209,0,0,no,euthanized
414,yes,adult,529461,38.6,72,20,cool,reduced,bright_pink,more_3_sec,depressed,hypomotile,moderate,,,3,decreased,,40,7.6,serosanguious,2.6,yes,400,0,0,yes,died
