customer_age,annual_income,tenure_months,monthly_bill,support_calls,complaints,data_usage_gb,late_payments,satisfaction_score,discount_percent,contract_type,internet_service,payment_method,region,churn
50.0,65942.0,30.7,24.52,1.0,0.0,22.09,0.0,4.3,19.7,Month-to-month,DSL,AutoPay,East,0
34.0,62034.0,35.6,108.38,3.0,1.0,29.17,3.0,6.0,15.6,One year,Fiber,Cash,East,0
30.0,62443.0,33.9,108.99,1.0,2.0,,0.0,4.4,15.2,Month-to-month,DSL,UPI,South,0
21.0,61723.0,13.5,116.78,2.0,,17.3,3.0,5.9,3.5,One year,DSL,Credit Card,Central,0
35.0,43809.0,62.7,107.23,2.0,2.0,2.62,1.0,4.2,4.5,Month-to-month,None,Credit Card,West,0
36.0,38990.0,38.8,78.01,1.0,1.0,18.63,1.0,8.8,16.6,Month-to-month,5G,AutoPay,East,0
30.0,85733.0,21.2,23.39,1.0,2.0,23.68,0.0,10.0,6.5,Month-to-month,DSL,Credit Card,South,0
45.0,81495.0,24.5,80.94,1.0,,220.0,0.0,8.5,4.7,Month-to-month,Fiber,Credit Card,South,1
,58758.0,31.0,42.16,6.0,1.0,26.74,1.0,10.0,10.5,Month-to-month,Fiber,UPI,South,0
33.0,88253.0,25.2,41.28,4.0,2.0,9.58,0.0,5.8,21.3,One year,None,Bank Transfer,North,0
32.0,,10.1,106.78,2.0,1.0,3.36,3.0,4.6,4.5,Month-to-month,DSL,Bank Transfer,North,1
40.0,103348.0,36.3,130.09,2.0,0.0,17.81,0.0,7.0,21.5,Month-to-month,Fiber,AutoPay,North,0
29.0,81715.0,41.0,107.05,6.0,2.0,23.08,0.0,4.3,5.7,Two year,DSL,AutoPay,Central,0
43.0,,32.5,121.34,2.0,1.0,16.26,3.0,7.4,16.7,Month-to-month,Fiber,Credit Card,West,0
44.0,43163.0,21.8,96.98,2.0,2.0,2.14,2.0,6.4,5.9,Month-to-month,Fiber,Bank Transfer,South,1
46.0,47217.0,43.8,450.0,3.0,0.0,21.51,1.0,4.6,18.8,Month-to-month,None,UPI,Central,0
34.0,27636.0,42.4,76.18,1.0,0.0,23.49,3.0,5.9,12.9,Two year,5G,Bank Transfer,West,0
36.0,34036.0,14.3,37.17,3.0,2.0,14.21,0.0,6.3,11.1,Month-to-month,Fiber,Cash,East,1
36.0,36507.0,40.5,,1.0,1.0,17.14,1.0,4.4,31.6,One year,DSL,UPI,West,0
32.0,52343.0,22.2,96.1,1.0,1.0,8.89,1.0,8.8,9.1,Two year,fiber,Cash,Central,0
32.0,60544.0,13.0,34.84,2.0,2.0,4.39,1.0,5.8,13.8,One year,None,UPI,East,0
40.0,35668.0,20.7,107.67,5.0,0.0,15.5,1.0,4.8,10.6,Month-to-month,Fiber,Bank Transfer,South,1
39.0,80167.0,23.2,46.05,2.0,0.0,22.78,0.0,7.7,14.0,One year,5G,AutoPay,Central,0
50.0,43298.0,28.5,80.75,5.0,1.0,2.02,0.0,4.1,0.0,,fiber,UPI,Central,0
44.0,53663.0,24.0,62.27,2.0,0.0,9.84,0.0,2.5,0.0,Two year,Fiber,UPI,North,1
43.0,88652.0,56.6,128.22,3.0,,10.33,0.0,5.2,17.7,Month-to-month,5G,Cash,West,0
54.0,125196.0,21.5,75.01,4.0,0.0,26.54,0.0,4.9,13.1,Month-to-month,Fiber,Bank Transfer,East,0
45.0,46376.0,20.0,36.96,4.0,2.0,26.23,0.0,5.2,22.1,Month-to-month,DSL,UPI,East,1
38.0,55574.0,11.6,,3.0,,13.91,1.0,4.3,6.6,One year,DSL,Cash,North,0
45.0,29171.0,17.3,93.85,2.0,2.0,9.32,0.0,6.4,0.0,One year,5G,Credit Card,,0
31.0,49149.0,32.0,77.64,2.0,0.0,14.32,2.0,6.2,23.3,Month-to-month,5G,Cash,South,0
32.0,50736.0,43.1,96.65,3.0,0.0,25.58,2.0,4.6,16.6,Two year,Fiber,AutoPay,South,0
31.0,55338.0,35.4,72.14,1.0,1.0,21.04,0.0,5.8,18.5,One year,Fiber,Cash,West,0
48.0,36269.0,29.6,70.63,3.0,1.0,23.15,1.0,7.1,,Two year,DSL,Bank Transfer,,0
24.0,58956.0,34.9,112.6,3.0,2.0,11.91,3.0,4.8,24.1,Month-to-month,Fiber,Cash,West,1
42.0,53098.0,51.4,99.59,2.0,1.0,8.96,1.0,9.1,18.6,Month-to-month,DSL,Credit Card,East,0
29.0,49153.0,17.7,105.43,0.0,2.0,15.49,0.0,9.3,13.6,Month-to-month,5G,UPI,North,1
45.0,48708.0,46.5,64.03,1.0,2.0,,0.0,7.4,12.2,Month-to-month,Fiber,Cash,Central,1
45.0,136324.0,80.3,93.2,,0.0,2.33,2.0,6.7,0.0,Two year,DSL,UPI,East,1
36.0,74401.0,63.9,26.77,5.0,4.0,23.5,3.0,6.3,17.1,Month-to-month,Fiber,Bank Transfer,North,0
51.0,61053.0,14.9,69.78,2.0,1.0,17.51,1.0,4.7,4.7,One year,5G,Credit Card,East,0
40.0,21004.0,27.7,129.0,0.0,1.0,15.45,3.0,3.6,15.5,Month-to-month,DSL,UPI,West,0
29.0,142900.0,16.3,81.2,2.0,2.0,11.19,,7.4,21.3,Month-to-month,DSL,Credit Card,South,1
35.0,51169.0,18.8,59.05,3.0,2.0,,2.0,8.3,0.5,One year,DSL,Cash,West,0
28.0,50666.0,21.2,69.85,4.0,3.0,,1.0,5.9,5.9,One year,Fiber,Bank Transfer,North,0
35.0,,5.3,77.18,2.0,1.0,7.77,1.0,3.5,17.9,Month-to-month,5G,UPI,South,1
42.0,66884.0,24.1,103.32,1.0,1.0,1.95,0.0,4.5,15.5,,Fiber,Cash,West,0
39.0,36896.0,29.7,87.93,2.0,0.0,29.69,1.0,10.0,11.9,Month-to-month,Fiber,Credit Card,East,0
36.0,96706.0,39.9,55.09,1.0,0.0,12.58,0.0,8.0,,Month-to-month,Fiber,UPI,West,0
39.0,52351.0,30.9,92.22,3.0,0.0,13.33,0.0,5.2,18.9,One year,DSL,UPI,West,0
22.0,74535.0,19.9,73.22,1.0,2.0,21.43,4.0,7.6,22.5,Two year,DSL,Credit Card,South,0
25.0,93375.0,31.3,54.04,1.0,,32.44,0.0,6.3,10.4,One year,Fiber,Credit Card,West,1
47.0,35334.0,37.5,63.34,2.0,1.0,1.31,1.0,5.1,13.3,One year,5G,Credit Card,East,1
18.0,76766.0,64.7,73.26,2.0,1.0,19.22,1.0,8.0,4.8,Two year,5G,AutoPay,East,0
49.0,50414.0,14.0,103.07,0.0,2.0,13.57,0.0,5.2,0.0,Two year,Fiber,UPI,East,0
39.0,105320.0,14.7,850.0,1.0,0.0,8.95,0.0,3.7,19.6,Month-to-month,Fiber,Bank Transfer,South,1
34.0,32512.0,44.8,97.06,1.0,0.0,26.39,0.0,6.3,0.0,Two year,None,UPI,North,0
,72370.0,23.7,91.6,4.0,2.0,9.07,1.0,7.9,13.5,Month-to-month,5G,Credit Card,South,0
61.0,28742.0,29.0,59.61,3.0,0.0,20.69,1.0,7.3,2.6,Month-to-month,DSL,UPI,South,1
23.0,53764.0,32.8,36.22,1.0,0.0,13.39,0.0,4.4,0.0,Month-to-month,DSL,AutoPay,North,0
37.0,24825.0,36.7,128.45,1.0,0.0,13.79,3.0,3.7,11.7,Two year,Fiber,Bank Transfer,Central,1
37.0,43334.0,38.4,115.18,1.0,1.0,17.12,1.0,8.2,7.2,Month-to-month,5G,Credit Card,Central,0
65.0,166897.0,15.9,65.19,2.0,,21.34,0.0,7.3,4.4,Month-to-month,5G,Cash,Central,1
35.0,,56.0,26.32,2.0,1.0,29.82,1.0,7.6,,month-to-month,Fiber,UPI,South,0
36.0,107678.0,17.4,,2.0,1.0,16.23,,5.7,4.5,Month-to-month,None,AutoPay,South,1
40.0,38770.0,26.8,37.32,3.0,1.0,23.9,0.0,4.3,14.4,Month-to-month,Fiber,AutoPay,West,0
34.0,51825.0,13.3,144.97,1.0,1.0,20.83,2.0,3.5,11.9,One year,Fiber,UPI,Central,1
33.0,43969.0,32.6,33.33,0.0,1.0,31.92,3.0,4.4,0.0,One year,None,Bank Transfer,North,0
18.0,61562.0,15.5,107.82,2.0,0.0,12.9,,7.9,0.0,One year,Fiber,AutoPay,West,1
36.0,124790.0,11.5,108.76,3.0,0.0,18.9,1.0,4.3,13.8,Month-to-month,DSL,,West,1
33.0,78377.0,30.3,88.64,1.0,3.0,16.54,2.0,6.6,8.9,Two year,Fiber,Credit Card,North,0
38.0,55446.0,48.7,69.14,4.0,0.0,24.14,1.0,8.4,4.9,Month-to-month,DSL,Bank Transfer,South,0
24.0,32263.0,29.1,79.04,7.0,,22.96,2.0,10.0,25.1,One year,Fiber,Bank Transfer,East,0
37.0,54472.0,36.0,48.26,2.0,0.0,24.57,1.0,10.0,19.3,One year,Fiber,Bank Transfer,West,0
40.0,81326.0,54.1,88.13,3.0,2.0,12.67,1.0,7.8,17.5,Month-to-month,DSL,Credit Card,Central,0
41.0,46489.0,9.4,98.65,1.0,2.0,16.23,1.0,6.8,14.4,Month-to-month,DSL,Credit Card,South,0
39.0,66969.0,17.0,101.86,2.0,4.0,26.46,3.0,7.1,6.7,Month-to-month,None,Bank Transfer, SOUTH,0
18.0,39187.0,31.5,40.78,0.0,1.0,,4.0,5.4,15.2,One year,Fiber,Credit Card,North,1
62.0,52176.0,29.2,115.47,0.0,1.0,19.0,0.0,8.7,13.3,Two year,DSL,Credit Card,North,0
24.0,123420.0,8.4,67.43,1.0,1.0,27.03,0.0,8.0,20.0,Two year,DSL,Cash,South,0
51.0,84983.0,53.1,93.86,2.0,0.0,24.59,4.0,6.8,5.5,Month-to-month,5G,AutoPay,Central,0
30.0,66190.0,13.7,20.0,2.0,3.0,24.7,0.0,,25.8,Month-to-month,Fiber,UPI,East,1
40.0,29409.0,29.5,93.51,0.0,0.0,15.55,1.0,,25.8,Month-to-month,Fiber,Credit Card,East,0
32.0,76992.0,36.0,69.22,1.0,0.0,19.91,3.0,3.5,22.1,Month-to-month,DSL,UPI,North,0
18.0,56266.0,8.8,95.91,3.0,0.0,11.77,1.0,6.2,15.5,Month-to-month,Fiber,Credit Card,North,1
23.0,41117.0,15.4,64.4,2.0,1.0,12.72,0.0,5.3,16.3,Month-to-month,DSL,Bank Transfer,East,0
28.0,83225.0,27.5,67.61,3.0,2.0,5.75,0.0,7.6,22.0,Month-to-month,None,Cash,South,0
36.0,78261.0,36.6,28.83,2.0,2.0,18.87,2.0,4.2,3.3,Two year,None,Credit Card,East,0
50.0,57935.0,27.6,63.65,3.0,0.0,30.34,1.0,6.0,18.4,One year,Fiber,AutoPay,East,0
48.0,54326.0,5.3,116.54,1.0,1.0,,0.0,5.1,9.4,Month-to-month,Fiber,Bank Transfer,North,1
39.0,46591.0,27.9,99.07,1.0,0.0,14.17,,7.2,9.7,One year,5G,AutoPay,South,0
20.0,42931.0,38.8,81.18,3.0,1.0,17.56,1.0,5.5,11.5,One year,DSL,UPI,East,0
36.0,31138.0,39.7,78.88,2.0,2.0,14.38,4.0,7.4,14.9,Two year,Fiber,,East,1
34.0,40438.0,40.0,82.47,4.0,2.0,13.85,1.0,4.4,18.2,Month-to-month,5G,,East,0
40.0,74175.0,41.0,43.4,2.0,1.0,13.97,1.0,8.3,11.8,Month-to-month,Fiber,UPI,,0
55.0,92305.0,31.6,95.78,0.0,2.0,24.98,1.0,8.2,0.0,One year,5G,Credit Card,East,0
34.0,100176.0,9.5,83.88,1.0,4.0,17.15,3.0,4.1,14.6,Month-to-month,None,Credit Card,East,1
,110344.0,24.7,93.89,0.0,0.0,26.52,2.0,6.8,0.0,Month-to-month,5G,UPI,East,0
47.0,162246.0,27.6,68.8,35.0,1.0,2.03,3.0,6.5,24.2,Month-to-month,Fiber,AutoPay,North,0
23.0,180621.0,13.1,73.49,3.0,0.0,13.28,1.0,7.6,9.9,One year,None,AutoPay,West,1
44.0,40461.0,15.8,71.94,,2.0,18.83,3.0,6.5,0.2,Month-to-month,Fiber,UPI,Central,1
37.0,54407.0,24.3,96.45,3.0,0.0,25.04,2.0,6.3,20.8,Two year,5G,Cash,West,0
34.0,23250.0,20.7,89.42,4.0,0.0,15.3,0.0,5.8,2.8,Month-to-month,DSL,Bank Transfer,East,0
21.0,,20.1,52.26,0.0,4.0,9.36,0.0,8.0,11.0,Month-to-month,Fiber,AutoPay,Central,0
41.0,39761.0,36.2,105.59,3.0,0.0,14.85,1.0,5.2,13.9,Month-to-month,5G, UPI,West,0
43.0,132033.0,40.4,103.93,1.0,0.0,12.66,0.0,7.6,0.0,Month-to-month,None,UPI,Central,0
48.0,86013.0,25.6,42.55,2.0,0.0,8.09,1.0,3.5,21.3,Two year,5G, UPI,South,1
55.0,62909.0,25.3,47.06,3.0,0.0,26.79,1.0,2.8,24.0,One year,5G,Credit Card,West,0
18.0,35950.0,39.9,105.66,2.0,0.0,6.37,3.0,5.0,8.3,One year,None,Bank Transfer,South,0
43.0,50824.0,,91.5,4.0,1.0,22.71,1.0,3.7,0.0,Month-to-month,Fiber,Cash,North,0
41.0,115522.0,11.6,60.96,2.0,2.0,12.6,0.0,6.5,12.2,One year,5G,Bank Transfer,North,1
57.0,40723.0,13.1,73.2,5.0,3.0,8.56,0.0,7.8,2.9,One year,Fiber,AutoPay,North,0
40.0,25445.0,49.6,100.22,2.0,1.0,19.96,0.0,4.0,0.0,Month-to-month,None,Cash,South,0
25.0,54969.0,9.5,66.08,1.0,0.0,16.65,0.0,8.6,22.0,Month-to-month,Fiber,Cash,North,0
60.0,52743.0,27.6,88.48,2.0,1.0,14.04,1.0,6.7,1.1,One year,Fiber,Cash,Central,1
31.0,40818.0,35.4,101.9,2.0,0.0,32.57,2.0,6.3,23.0,Month-to-month,DSL,AutoPay,West,0
45.0,,31.5,94.38,1.0,1.0,24.31,0.0,3.1,4.5,One year,DSL,Cash,South,0
18.0,82883.0,40.1,44.89,5.0,1.0,1.67,0.0,5.0,20.3,One year,Fiber,AutoPay,North,0
52.0,58701.0,42.5,89.86,3.0,0.0,13.69,5.0,5.9,31.8,One year,None,UPI,,0
63.0,114682.0,16.1,29.6,1.0,1.0,17.8,0.0,5.8,12.9,Month-to-month,DSL,Bank Transfer,West,0
40.0,74304.0,49.0,104.93,1.0,2.0,21.37,0.0,7.2,8.8,Month-to-month,5G,Credit Card,East,0
47.0,55347.0,19.2,42.58,2.0,2.0,,0.0,6.2,16.3,Month-to-month,Fiber,Cash,West,0
30.0,29939.0,48.6,70.81,2.0,1.0,14.45,2.0,8.2,26.3,,Fiber,Credit Card,West,0
40.0,23514.0,21.9,110.03,,3.0,13.61,0.0,7.3,0.0,One year,Fiber,Credit Card,North,1
53.0,37400.0,44.7,57.2,5.0,1.0,10.29,0.0,10.0,10.9,Month-to-month,Fiber,UPI,South,0
29.0,82365.0,53.6,122.95,0.0,1.0,22.33,3.0,,16.6,Month-to-month,fiber,Credit Card,Central,0
39.0,30295.0,39.6,136.4,,3.0,21.83,1.0,6.5,13.2,Month-to-month,,UPI,Central,0
31.0,48298.0,109.5,100.88,3.0,0.0,21.89,3.0,5.5,9.3,One year,DSL,Credit Card,Central,0
45.0,18000.0,31.6,81.3,4.0,0.0,24.43,0.0,7.9,3.2,One year,Fiber,Bank Transfer,East,0
68.0,31089.0,14.3,31.44,1.0,0.0,25.68,4.0,6.0,16.8,Month-to-month,DSL,UPI,Central,1
35.0,162456.0,19.5,27.72,1.0,0.0,11.81,0.0,7.7,,One year,5G,Cash,Central,0
,47867.0,20.6,74.41,2.0,1.0,24.12,0.0,7.3,17.0,Month-to-month,5G,AutoPay,West,0
38.0,42813.0,21.8,89.05,1.0,0.0,18.42,,4.2,11.2,Month-to-month,5G,Cash,South,0
26.0,,18.4,74.87,5.0,2.0,28.57,3.0,10.0,8.0,One year,Fiber,UPI,Central,0
37.0,52964.0,,85.57,2.0,2.0,23.87,2.0,10.0,12.8,Month-to-month,Fiber,AutoPay,Central,1
38.0,229014.0,29.8,78.39,2.0,0.0,10.96,1.0,4.2,8.3,Month-to-month,Fiber,AutoPay,East,1
38.0,500000.0,7.1,79.3,,0.0,19.83,2.0,7.9,5.6,Month-to-month,Fiber,Cash,West,0
51.0,57418.0,84.6,101.17,1.0,0.0,15.7,1.0,5.1,5.6,One year,Fiber,UPI,Central,0
30.0,40186.0,22.2,43.2,2.0,2.0,30.71,0.0,6.8,14.4,One year,Fiber,Cash,Central,0
40.0,29055.0,7.0,92.34,1.0,0.0,29.5,1.0,6.7,12.8,,Fiber,UPI,South,0
29.0,65766.0,12.3,94.09,,1.0,23.89,2.0,7.3,14.0,Month-to-month,DSL,Bank Transfer,Central,0
23.0,121729.0,42.5,67.64,0.0,0.0,300.0,0.0,4.4,9.4,Month-to-month,5G,UPI,West,0
33.0,30839.0,30.0,109.59,4.0,2.0,9.95,2.0,4.0,17.7,Two year,Fiber,UPI,North,0
27.0,92803.0,38.5,44.24,2.0,0.0,4.89,1.0,6.8,11.8,One year,Fiber,Cash,West,0
38.0,45334.0,18.4,52.47,5.0,2.0,11.54,1.0,4.2,0.0,One year,Fiber,AutoPay,West,0
41.0,96787.0,6.4,83.36,3.0,0.0,15.27,1.0,6.2,6.2,One year,None,UPI,East,0
,36230.0,52.2,71.42,1.0,1.0,23.0,1.0,6.6,0.0,One year,DSL,AutoPay,North,0
47.0,52607.0,,74.52,2.0,1.0,23.3,1.0,8.7,1.3,Month-to-month,Fiber,Bank Transfer,Central,1
39.0,60182.0,44.6,85.45,0.0,1.0,26.55,,5.3,12.1,Two year,Fiber,upi,West,0
53.0,,48.7,40.04,2.0,1.0,10.67,0.0,7.6,8.7,Month-to-month,Fiber,Bank Transfer,West,0
18.0,52316.0,86.5,48.65,,1.0,22.35,2.0,7.4,0.5,Month-to-month,Fiber,UPI,Central,0
26.0,199834.0,11.1,71.07,0.0,,19.96,1.0,9.4,13.7,One year,Fiber,Bank Transfer,East,0
57.0,90548.0,22.2,110.43,3.0,1.0,14.57,2.0,9.0,19.8,One year,Fiber,UPI,South,0
54.0,33410.0,11.9,71.29,1.0,0.0,31.96,0.0,7.1,0.0,Month-to-month,DSL,Cash,Central,0
44.0,32572.0,32.9,47.52,1.0,2.0,14.06,2.0,8.5,15.3,One year,DSL,Cash,West,0
,21694.0,22.0,89.08,1.0,2.0,14.96,2.0,5.9,9.3,Month-to-month,Fiber,Bank Transfer,Central,0
48.0,,11.4,112.92,3.0,0.0,31.12,1.0,7.5,18.3,Two year,Fiber,Cash,East,1
41.0,18000.0,65.5,71.7,2.0,2.0,14.42,3.0,5.3,21.1,Month-to-month,Fiber,Cash,East,0
30.0,44239.0,33.6,62.31,2.0,3.0,17.6,2.0,,9.2,One year,DSL,AutoPay,South,0
31.0,77505.0,13.6,69.37,3.0,2.0,26.68,0.0,9.7,0.0,Two year,DSL,UPI,West,1
53.0,69346.0,12.2,73.62,4.0,1.0,11.58,2.0,5.3,9.4,,Fiber,UPI,East,0
30.0,20588.0,6.2,40.38,1.0,3.0,4.89,1.0,6.4,15.2,Month-to-month,5G,UPI,South,0
,34089.0,39.4,64.94,2.0,2.0,25.26,0.0,3.5,8.4,One year,Fiber,UPI,East,1
29.0,34843.0,36.3,54.5,3.0,3.0,25.22,1.0,7.3,1.6,,None,Credit Card,East,1
47.0,101283.0,4.0,110.77,3.0,1.0,19.9,2.0,9.4,16.4,Month-to-month,5G,AutoPay,East,1
18.0,110656.0,17.3,73.13,2.0,1.0,12.3,1.0,8.8,11.6,One year,5G,UPI,Central,0
38.0,77875.0,26.0,105.57,3.0,1.0,21.5,2.0,10.0,0.9,Month-to-month,None,AutoPay,West,0
18.0,18000.0,18.3,97.93,3.0,1.0,29.69,1.0,6.5,0.0,Two year,Fiber,Cash,West,0
32.0,,40.9,90.85,3.0,,16.93,0.0,4.7,11.0,Two year,Fiber,Cash,Central,0
35.0,81649.0,45.9,73.83,3.0,0.0,14.41,1.0,9.5,2.9,Two year,5G,UPI,North,0
40.0,32659.0,13.1,46.27,4.0,0.0,12.3,1.0,5.8,0.0,Month-to-month,DSL,AutoPay,South,0
43.0,100007.0,21.1,49.76,0.0,1.0,14.24,0.0,6.2,24.1,Month-to-month,5G,Credit Card,Central,0
28.0,55312.0,53.2,89.31,1.0,0.0,6.16,1.0,9.8,5.9,Month-to-month,DSL,UPI,South,0
43.0,60645.0,11.3,99.59,3.0,2.0,25.1,0.0,5.6,18.0,Two year,Fiber,Credit Card,,0
20.0,,55.3,104.27,1.0,1.0,25.46,0.0,7.1,13.1,Two year,Fiber,UPI,East,0
27.0,24839.0,32.1,75.59,4.0,1.0,,,7.7,8.0,Month-to-month,Fiber,Credit Card,South,0
30.0,54480.0,20.1,73.76,1.0,1.0,17.12,0.0,4.9,15.4,Month-to-month,DSL,UPI,Central,0
,31021.0,29.7,59.98,2.0,0.0,10.5,3.0,4.2,3.9,One year,Fiber,Credit Card,Central,1
54.0,49573.0,,20.0,2.0,0.0,24.64,0.0,6.3,5.0,One year,Fiber,UPI,South,0
,77750.0,27.4,86.72,4.0,1.0,19.93,2.0,7.4,8.2,Month-to-month,Fiber,Cash,North,1
55.0,31106.0,37.2,77.7,1.0,0.0,9.49,0.0,4.0,0.0,Month-to-month,DSL,UPI,East,1
51.0,29888.0,16.6,84.05,0.0,2.0,1.52,3.0,6.8,12.8,Month-to-month,5G,UPI,,1
18.0,25892.0,10.1,74.34,2.0,0.0,15.22,1.0,4.1,9.6,One year,,Cash,West,0
43.0,40400.0,85.6,106.06,2.0,0.0,12.29,2.0,7.0,27.0,Month-to-month,Fiber,Bank Transfer,North,0
46.0,42746.0,6.1,31.43,3.0,1.0,27.03,1.0,8.0,0.0,One year,Fiber,Credit Card,,0
26.0,34074.0,12.6,54.16,1.0,1.0,22.22,1.0,4.5,22.8,Month-to-month,Fiber,Cash,Central,0
32.0,111064.0,25.5,66.72,3.0,1.0,10.69,1.0,,6.3,,None,Bank Transfer,East,0
23.0,,67.9,82.66,3.0,0.0,4.57,0.0,5.5,22.7,Month-to-month,Fiber,AutoPay,East,0
45.0,53160.0,53.9,81.18,0.0,1.0,15.5,0.0,3.9,5.1,Month-to-month,Fiber,Cash,East,1
38.0,141209.0,13.4,94.52,1.0,1.0,17.36,2.0,6.5,16.6,Month-to-month,Fiber,UPI,South,0
48.0,40414.0,14.5,109.93,1.0,0.0,14.98,1.0,5.4,11.4,One year,,,South,0
,44133.0,22.2,73.35,1.0,1.0,24.87,1.0,8.8,16.0,One year,DSL,Credit Card,West,0
30.0,58196.0,15.7,31.62,3.0,2.0,11.97,4.0,7.3,11.6,Month-to-month,DSL,AutoPay,West,0
32.0,37999.0,16.6,36.85,5.0,3.0,6.33,0.0,,14.0,One year,Fiber,Credit Card,West,0
23.0,96990.0,7.8,99.05,6.0,1.0,14.95,2.0,6.9,6.3,Month-to-month,Fiber,UPI,Central,0
34.0,76982.0,12.7,73.5,3.0,,16.64,,7.8,13.4,One year,DSL,AutoPay,North,0
67.0,122588.0,25.1,92.03,1.0,1.0,26.3,1.0,8.1,2.8,One year,Fiber,Credit Card,West,0
38.0,49129.0,28.1,90.73,2.0,3.0,25.52,0.0,5.4,8.6,Month-to-month,DSL,AutoPay,South,0
26.0,24637.0,43.0,56.43,1.0,3.0,25.59,1.0,8.9,11.2,One year,Fiber,Cash,North,1
30.0,31334.0,9.5,56.02,2.0,3.0,34.68,0.0,5.5,26.0,One year,Fiber,Bank Transfer,,0
28.0,46909.0,11.1,107.16,2.0,0.0,15.54,0.0,5.4,14.9,Month-to-month,DSL,UPI,North,0
47.0,116224.0,26.7,101.41,3.0,1.0,17.6,0.0,6.1,16.0,Month-to-month,Fiber,Bank Transfer,Central,0
50.0,51117.0,5.8,20.0,3.0,2.0,21.04,0.0,6.5,13.8,Month-to-month,,Bank Transfer,West,0
37.0,76869.0,25.3,53.33,1.0,0.0,28.0,0.0,6.6,14.0,Month-to-month,5G,Credit Card,Central,0
18.0,114098.0,40.0,93.5,2.0,2.0,10.11,2.0,6.9,11.5,One year,Fiber,UPI,South,0
30.0,20014.0,11.6,70.87,4.0,0.0,14.78,2.0,6.8,29.4,Two year,Fiber,AutoPay,West,0
41.0,52847.0,21.6,97.87,3.0,2.0,15.09,0.0,6.9,20.4,Month-to-month,Fiber,Cash,South,0
38.0,47848.0,23.1,53.88,0.0,1.0,25.17,3.0,7.6,2.0,Month-to-month,DSL,AutoPay,Central,0
29.0,78595.0,12.3,46.42,4.0,1.0,10.67,,7.2,4.1,Month-to-month,Fiber,Bank Transfer,North,1
44.0,40941.0,43.2,89.21,1.0,1.0,11.47,1.0,7.0,,Month-to-month,DSL,Bank Transfer,,1
45.0,70662.0,23.6,39.2,2.0,2.0,16.57,2.0,,4.1,Two year,5G,AutoPay,West,1
32.0,93495.0,17.2,79.16,2.0,2.0,23.18,1.0,4.9,20.2,Month-to-month,DSL,,North,1
34.0,18908.0,,88.45,4.0,0.0,21.17,2.0,,0.0,One year,Fiber ,UPI,North,1
55.0,58475.0,28.4,68.18,3.0,1.0,,1.0,7.9,13.4,Two year,FIBER,Cash,,0
54.0,38927.0,28.9,54.25,4.0,0.0,29.77,0.0,4.9,21.5,Two year,5G,Cash,West,0
54.0,77453.0,35.8,68.65,3.0,0.0,16.89,2.0,2.9,14.0,Month-to-month,5G,Cash,West,1
39.0,22346.0,,94.12,2.0,1.0,31.96,0.0,4.8,7.2,One year,Fiber,Bank Transfer,East,0
50.0,119925.0,13.1,101.11,3.0,3.0,12.34,1.0,7.0,6.1,Month-to-month,5G,UPI,South,1
47.0,103674.0,45.0,73.7,0.0,0.0,23.88,0.0,5.7,18.8,One year,Fiber,UPI,West,1
26.0,62952.0,23.7,,1.0,0.0,17.0,1.0,6.6,4.7,One year,5G,Credit Card,South,0
35.0,70666.0,35.7,,4.0,2.0,30.42,,10.0,,Month-to-month,Fiber,,Central,0
27.0,60392.0,32.4,72.75,1.0,0.0,12.12,2.0,10.0,8.4,Month-to-month,Fiber,Credit Card,North,0
38.0,1000000.0,18.3,62.71,0.0,1.0,24.82,1.0,7.9,8.6,Two year,,Credit Card,West,0
46.0,62865.0,23.2,144.42,3.0,0.0,12.0,1.0,6.2,8.2,Month-to-month,5G,Credit Card,East,1
21.0,61723.0,16.8,49.78,2.0,0.0,4.96,2.0,7.2,19.7,One year,Fiber,UPI,East,0
44.0,83497.0,17.8,115.7,1.0,1.0,8.24,0.0,9.1,13.1,Two year,DSL,Bank Transfer,East,0
51.0,47152.0,7.3,45.38,2.0,3.0,14.77,0.0,6.0,12.3,One year,5G,Cash,West,1
45.0,62747.0,15.3,99.61,1.0,1.0,30.61,1.0,6.5,9.6,Two year,5G,UPI,Central,0
26.0,47915.0,18.9,48.38,1.0,0.0,12.29,1.0,7.9,19.9,One year,None,Cash,West,0
47.0,70842.0,33.4,88.82,6.0,2.0,12.48,3.0,8.0,18.6,Two year,DSL,Bank Transfer,West,0
25.0,109507.0,10.3,89.38,2.0,1.0,21.99,1.0,6.1,19.0,Two year,Fiber,Credit Card,East,0
49.0,91555.0,13.4,81.88,5.0,0.0,12.44,0.0,4.0,9.9,Month-to-month,DSL,AutoPay,West,0
36.0,140980.0,30.2,63.78,3.0,1.0,16.4,3.0,6.8,20.9,One year,Fiber,UPI,,0
29.0,47456.0,35.0,135.01,2.0,2.0,19.59,2.0,7.2,20.7,One year,Fiber,Bank Transfer,South,1
42.0,25929.0,18.3,106.32,3.0,0.0,16.49,0.0,7.9,21.0,Month-to-month,Fiber,UPI ,Central,0
43.0,47611.0,47.3,108.04,3.0,0.0,22.83,0.0,6.0,13.2,Month-to-month,DSL,Cash,West,0
41.0,71504.0,72.0,84.32,0.0,0.0,16.22,1.0,6.3,10.9,,Fiber,Bank Transfer,South,0
