Crop Type,Field Size (hectares),Planting Date,Soil Type,Fertilizer Used,Irrigation Type,Yield_t_per_ha
Groundnut,1.3,10-06-2024,Loamy,Compost/Organic Manure,Furrow/Canal irrigation,1.785
Rice,1.12,20-06-2023,Silty,NPK,Furrow/Canal irrigation,5.108
Soybean,0.21,28-06-2025,Loamy,Compost/Organic Manure,Sprinkler Irrigation,1.296
Rice,0.11,11-07-2024,Laterite,DAP,Rainfed,3.457
Wheat,0.91,01-12-2025,Alluvial,MOP,Flood Irrigation,3.475
Cotton,5.15,21-06-2025,Sandy,Compost/Organic Manure,Furrow/Canal irrigation,0.348
Maize,0.95,17-06-2024,Alluvial,Urea,Flood Irrigation,4.276
Wheat,1.3,14-12-2025,Loamy,Ammonium Sulphate,Furrow/Canal irrigation,3.344
Onion,0.61,01-04-2023,Loamy,Urea,Drip Irrigation,26.179
Groundnut,0.49,14-06-2025,Chalky,Urea,Rainfed,1.064
Soybean,1.48,17-06-2023,Alluvial,Biofertilizers,Sprinkler Irrigation,1.244
Wheat,1,24-11-2024,Alluvial,DAP,Flood Irrigation,3.352
Onion,1.84,02-06-2024,Loamy,Compost/Organic Manure,Furrow/Canal irrigation,23.95
Rice,6.59,16-06-2025,Alluvial,NPK,Furrow/Canal irrigation,5.361
Groundnut,0.42,24-06-2024,Alluvial,Compost/Organic Manure,Drip Irrigation,1.516
Potato,11.64,23-07-2025,Alluvial,MOP,Rainfed,21.49
Cotton,1.5,12-05-2024,Loamy,Compost/Organic Manure,Furrow/Canal irrigation,0.502
Sugarcane,2.87,02-10-2024,Alluvial,Urea,Drip Irrigation,108.115
Maize,0.57,18-06-2024,Laterite,Compost/Organic Manure,Rainfed,2.838
Wheat,0.52,11-12-2024,Loamy,Urea,Flood Irrigation,3.457
Cotton,0.17,13-04-2024,Sandy,NPK,Flood Irrigation,0.52
Potato,0.24,01-07-2023,Loamy,DAP,Furrow/Canal irrigation,24.671
Groundnut,3.09,25-06-2024,Laterite,Compost/Organic Manure,Rainfed,1.21
Potato,1.26,01-11-2023,Loamy,DAP,Furrow/Canal irrigation,21.94
Potato,1.12,28-07-2023,Laterite,DAP,Sprinkler Irrigation,21.468
Onion,0.5,05-10-2024,Chalky,Urea,Furrow/Canal irrigation,22.359
Potato,4.06,15-02-2024,Alluvial,Urea,Drip Irrigation,27.456
Rice,0.73,14-06-2023,Silty,Urea,Flood Irrigation,4.727
Potato,2.17,11-07-2025,Clay,DAP,Furrow/Canal irrigation,22.683
Rice,0.44,15-06-2024,Clay,NPK,Rainfed,3.844
Onion,2.62,09-05-2024,Alluvial,Urea,Furrow/Canal irrigation,25.803
Wheat,0.6,05-11-2024,Sandy,DAP,Flood Irrigation,2.797
Cotton,0.63,01-05-2024,Alluvial,Compost/Organic Manure,Rainfed,0.445
Cotton,0.49,04-05-2024,Sandy,Compost/Organic Manure,Furrow/Canal irrigation,0.423
Rice,2.22,19-06-2024,Silty,Biofertilizers,Drip Irrigation,4.853
Onion,0.66,26-05-2025,Loamy,Compost/Organic Manure,Furrow/Canal irrigation,25.337
Wheat,2.66,06-10-2025,Alluvial,NPK,Furrow/Canal irrigation,3.686
Maize,1.11,12-09-2025,Loamy,DAP,Flood Irrigation,4.096
Potato,2.31,21-10-2025,Loamy,NPK,Rainfed,22.163
Rice,4.63,07-07-2024,Silty,Compost/Organic Manure,Flood Irrigation,4.101
Onion,0.13,12-06-2025,Clay,Compost/Organic Manure,Flood Irrigation,18.181
Cotton,4.56,01-05-2024,Loamy,DAP,Furrow/Canal irrigation,0.608
Groundnut,3.5,17-06-2025,Loamy,MOP,Flood Irrigation,1.314
Rice,1.06,18-07-2025,Laterite,Biofertilizers,Drip Irrigation,4.227
Onion,1.88,12-05-2025,Alluvial,Biofertilizers,Sprinkler Irrigation,27.291
Wheat,1.15,12-12-2025,Alluvial,Urea,Rainfed,2.691
Onion,1.71,27-04-2025,Alluvial,Compost/Organic Manure,Rainfed,18.474
Wheat,6.03,08-10-2023,Silty,Urea,Rainfed,2.779
Wheat,2.98,23-11-2025,Loamy,Compost/Organic Manure,Furrow/Canal irrigation,3.743
Rice,3.32,25-06-2025,Sandy,NPK,Flood Irrigation,4.027
Rice,1.21,10-07-2025,Loamy,Biofertilizers,Furrow/Canal irrigation,5.663
Maize,0.7,23-09-2025,Alluvial,Ammonium Sulphate,Furrow/Canal irrigation,4.248
Groundnut,0.4,13-05-2025,Loamy,Ammonium Sulphate,Sprinkler Irrigation,1.452
Groundnut,0.74,06-05-2025,Silty,Biofertilizers,Furrow/Canal irrigation,1.427
Wheat,0.14,11-10-2025,Laterite,DAP,Furrow/Canal irrigation,2.699
Rice,1.72,15-07-2025,Sandy,DAP,Rainfed,3.673
Maize,2.21,13-06-2025,Clay,NPK,Sprinkler Irrigation,3.789
Maize,0.12,04-10-2024,Laterite,Compost/Organic Manure,Rainfed,3.018
Groundnut,0.39,26-05-2024,Alluvial,DAP,Flood Irrigation,1.638
Onion,2.29,06-05-2024,Laterite,NPK,Furrow/Canal irrigation,25.864
Rice,0.49,21-07-2025,Loamy,Compost/Organic Manure,Sprinkler Irrigation,5.089
Rice,1.07,23-07-2025,Silty,Biofertilizers,Rainfed,4.184
Sugarcane,1.56,13-12-2024,Silty,Compost/Organic Manure,Sprinkler Irrigation,94.534
Maize,1.95,07-10-2023,Sandy,DAP,Rainfed,2.926
Onion,0.66,26-11-2025,Clay,NPK,Rainfed,17.338
Rice,0.98,12-07-2024,Loamy,Urea,Rainfed,4.106
Wheat,2.64,25-10-2025,Chalky,Urea,Rainfed,2.628
Potato,1.39,18-06-2025,Sandy,NPK,Rainfed,15.394
Onion,2.28,16-10-2025,Loamy,NPK,Furrow/Canal irrigation,27.228
Rice,0.58,06-07-2024,Alluvial,Urea,Sprinkler Irrigation,5.246
Rice,0.16,07-07-2024,Alluvial,MOP,Furrow/Canal irrigation,5.094
Wheat,0.21,13-12-2023,Silty,Compost/Organic Manure,Rainfed,2.425
Onion,1.47,19-06-2025,Silty,NPK,Flood Irrigation,21.226
Rice,3.05,26-06-2025,Loamy,NPK,Flood Irrigation,5.308
Maize,0.33,02-10-2025,Loamy,NPK,Rainfed,3.76
Sugarcane,1.47,23-01-2024,Loamy,Compost/Organic Manure,Furrow/Canal irrigation,97.173
Potato,2.43,10-11-2024,Loamy,NPK,Rainfed,20.578
Rice,3.52,25-07-2024,Laterite,DAP,Flood Irrigation,3.986
Soybean,3.31,24-06-2024,Clay,NPK,Flood Irrigation,0.933
Rice,1.88,05-07-2023,Laterite,NPK,Rainfed,4.056
Rice,1,02-06-2025,Clay,Biofertilizers,Rainfed,3.121
Wheat,1.66,04-12-2025,Peaty,DAP,Rainfed,2.556
Maize,4.23,12-10-2025,Loamy,Compost/Organic Manure,Furrow/Canal irrigation,4.324
Sugarcane,2.25,06-12-2023,Alluvial,Compost/Organic Manure,Sprinkler Irrigation,105.357
Wheat,2.46,21-11-2025,Clay,Urea,Furrow/Canal irrigation,3.041
Groundnut,1.44,21-05-2024,Loamy,Compost/Organic Manure,Flood Irrigation,1.509
Soybean,0.6,14-06-2025,Alluvial,Compost/Organic Manure,Rainfed,1.045
Wheat,0.17,13-12-2025,Silty,Urea,Furrow/Canal irrigation,3.422
Onion,2.49,10-11-2025,Peaty,NPK,Flood Irrigation,22.786
Wheat,7.18,21-11-2025,Chalky,Compost/Organic Manure,Flood Irrigation,2.709
Rice,5.87,22-07-2025,Loamy,Urea,Drip Irrigation,5.866
Maize,3.82,13-10-2024,Clay,Urea,Rainfed,3.057
Cotton,0.87,22-05-2024,Silty,Compost/Organic Manure,Furrow/Canal irrigation,0.444
Sugarcane,0.36,18-02-2025,Loamy,Urea,Sprinkler Irrigation,108.807
Wheat,0.26,21-11-2025,Sandy,DAP,Furrow/Canal irrigation,2.72
Wheat,2.68,10-12-2024,Clay,Urea,Drip Irrigation,3.697
Soybean,0.24,17-06-2024,Sandy,Ammonium Sulphate,Rainfed,0.823
Maize,3.23,11-06-2024,Clay,MOP,Furrow/Canal irrigation,3.03
Maize,0.87,25-09-2025,Sandy,DAP,Furrow/Canal irrigation,3.708
Wheat,2.01,07-11-2023,Laterite,Urea,Furrow/Canal irrigation,3.128
Maize,0.63,21-07-2024,Clay,NPK,Rainfed,3.385
Rice,3.31,11-06-2025,Laterite,NPK,Drip Irrigation,4.818
Rice,12.46,10-07-2024,Loamy,NPK,Rainfed,4.963
Rice,1.13,15-07-2024,Laterite,MOP,Flood Irrigation,3.72
Potato,1.41,12-11-2024,Laterite,Urea,Furrow/Canal irrigation,24.059
Potato,8.38,07-10-2024,Laterite,MOP,Sprinkler Irrigation,23.432
Maize,3.02,25-07-2024,Silty,Urea,Furrow/Canal irrigation,3.484
Sugarcane,2.78,14-10-2023,Clay,Urea,Flood Irrigation,72.192
Sugarcane,0.65,10-10-2025,Clay,Urea,Rainfed,72.758
Soybean,0.78,17-06-2024,Chalky,Urea,Drip Irrigation,1.016
Rice,0.8,27-07-2025,Silty,DAP,Rainfed,3.465
Wheat,2.38,23-10-2025,Alluvial,DAP,Drip Irrigation,3.52
Sugarcane,0.59,05-11-2025,Alluvial,Compost/Organic Manure,Drip Irrigation,103.423
Groundnut,4.33,10-06-2025,Loamy,Urea,Furrow/Canal irrigation,1.474
Potato,5.89,14-07-2024,Laterite,Urea,Furrow/Canal irrigation,26.725
Rice,0.47,11-06-2025,Loamy,NPK,Rainfed,4.279
Potato,9.56,06-11-2024,Sandy,NPK,Rainfed,20.754
Potato,1.54,21-02-2025,Alluvial,Urea,Sprinkler Irrigation,29.693
Groundnut,0.62,26-06-2024,Silty,NPK,Rainfed,1.233
Groundnut,0.51,16-05-2025,Alluvial,Urea,Flood Irrigation,1.394
Rice,3.12,23-06-2025,Alluvial,NPK,Furrow/Canal irrigation,4.974
Groundnut,7.05,17-06-2025,Silty,Ammonium Sulphate,Drip Irrigation,1.543
Sugarcane,4.4,05-11-2024,Laterite,NPK,Furrow/Canal irrigation,86.711
Rice,2.94,28-07-2025,Clay,Urea,Furrow/Canal irrigation,4.063
Wheat,2.48,17-10-2025,Loamy,MOP,Flood Irrigation,3.412
Wheat,0.61,15-12-2024,Sandy,NPK,Flood Irrigation,2.76
Onion,0.61,02-05-2024,Silty,Urea,Drip Irrigation,30.769
Soybean,1.84,21-06-2025,Peaty,Biofertilizers,Flood Irrigation,1.005
Rice,0.29,18-07-2025,Laterite,MOP,Rainfed,3.362
Maize,0.38,01-09-2024,Loamy,Compost/Organic Manure,Furrow/Canal irrigation,4.258
Wheat,4.49,06-10-2025,Clay,Compost/Organic Manure,Furrow/Canal irrigation,3.19
Maize,1.7,04-09-2025,Alluvial,NPK,Rainfed,3.943
Groundnut,0.28,02-06-2024,Alluvial,Compost/Organic Manure,Rainfed,1.092
Groundnut,0.7,16-05-2024,Sandy,Compost/Organic Manure,Rainfed,0.883
Maize,2.67,23-09-2025,Silty,Compost/Organic Manure,Sprinkler Irrigation,3.755
Maize,0.6,14-10-2025,Alluvial,Biofertilizers,Furrow/Canal irrigation,3.988
Wheat,2.4,26-11-2025,Loamy,NPK,Rainfed,2.345
Groundnut,1.89,23-06-2025,Laterite,NPK,Sprinkler Irrigation,1.326
Wheat,3.58,05-12-2025,Alluvial,MOP,Furrow/Canal irrigation,3.768
Cotton,1.77,18-06-2025,Clay,MOP,Rainfed,0.342
Maize,0.72,26-10-2025,Sandy,Urea,Flood Irrigation,3.287
Rice,2.25,10-06-2024,Peaty,Urea,Drip Irrigation,4.821
Groundnut,3.9,12-05-2025,Laterite,Urea,Furrow/Canal irrigation,1.368
Groundnut,3.73,08-06-2025,Clay,Compost/Organic Manure,Rainfed,1.179
Sugarcane,2.49,14-11-2025,Alluvial,Biofertilizers,Flood Irrigation,98.658
Cotton,2.89,20-05-2025,Alluvial,Compost/Organic Manure,Rainfed,0.496
Wheat,0.45,24-12-2025,Silty,Compost/Organic Manure,Furrow/Canal irrigation,3.211
Wheat,2.82,06-10-2025,Alluvial,Compost/Organic Manure,Drip Irrigation,3.49
Rice,0.45,06-06-2025,Silty,DAP,Flood Irrigation,4.732
Sugarcane,1.52,20-11-2023,Sandy,Biofertilizers,Rainfed,68.173
Sugarcane,0.11,12-02-2025,Sandy,Ammonium Sulphate,Rainfed,72.711
Onion,8.05,14-04-2025,Silty,NPK,Flood Irrigation,21.799
Potato,2.1,10-02-2024,Loamy,Compost/Organic Manure,Rainfed,23.326
Onion,1.65,15-05-2024,Loamy,MOP,Furrow/Canal irrigation,23.364
Wheat,3.13,13-11-2025,Alluvial,Biofertilizers,Flood Irrigation,3.304
Cotton,1.66,17-06-2023,Laterite,NPK,Drip Irrigation,0.494
Potato,6.69,04-10-2024,Loamy,Biofertilizers,Rainfed,24.128
Rice,5.48,28-06-2024,Peaty,Compost/Organic Manure,Sprinkler Irrigation,3.972
Potato,0.32,24-01-2025,Peaty,Urea,Rainfed,19.229
Rice,0.24,18-07-2023,Sandy,Compost/Organic Manure,Furrow/Canal irrigation,4.176
Maize,0.82,11-10-2025,Sandy,Ammonium Sulphate,Rainfed,2.663
Soybean,1.85,23-06-2025,Alluvial,DAP,Rainfed,1.034
Wheat,0.95,25-11-2025,Alluvial,NPK,Furrow/Canal irrigation,3.515
Rice,4.2,24-06-2025,Clay,Compost/Organic Manure,Rainfed,3.656
Onion,7.36,21-06-2024,Clay,Biofertilizers,Rainfed,19.346
Cotton,0.15,18-07-2023,Silty,Urea,Sprinkler Irrigation,0.508
Groundnut,0.14,06-05-2024,Loamy,MOP,Flood Irrigation,1.429
Rice,3.04,21-07-2025,Silty,DAP,Drip Irrigation,4.493
Rice,2.4,05-07-2025,Peaty,DAP,Flood Irrigation,3.587
Rice,11.8,11-07-2024,Silty,DAP,Rainfed,4.027
Cotton,1.21,06-07-2025,Sandy,DAP,Flood Irrigation,0.374
Groundnut,3.27,05-06-2024,Peaty,DAP,Rainfed,1.113
Maize,2.47,06-09-2024,Silty,Urea,Flood Irrigation,4.059
Potato,0.74,24-01-2024,Sandy,Urea,Rainfed,20.127
Rice,6.13,02-06-2025,Silty,NPK,Furrow/Canal irrigation,4.897
Maize,5.85,25-06-2024,Silty,Compost/Organic Manure,Sprinkler Irrigation,3.704
Cotton,1.19,22-04-2024,Loamy,Biofertilizers,Furrow/Canal irrigation,0.478
Sugarcane,0.74,19-10-2024,Alluvial,MOP,Furrow/Canal irrigation,109.039
Groundnut,8.37,08-05-2025,Laterite,DAP,Flood Irrigation,1.367
Wheat,0.62,13-11-2025,Clay,NPK,Drip Irrigation,3.43
Onion,0.58,27-11-2024,Laterite,MOP,Rainfed,18.171
Maize,1.02,17-09-2024,Loamy,Biofertilizers,Flood Irrigation,3.786
Maize,4.1,20-10-2024,Sandy,Compost/Organic Manure,Rainfed,2.872
Wheat,0.51,06-10-2024,Loamy,Compost/Organic Manure,Drip Irrigation,3.743
Wheat,4.16,22-11-2025,Clay,DAP,Sprinkler Irrigation,3.47
Potato,3.83,19-10-2024,Silty,Urea,Rainfed,22.392
Potato,2.96,06-11-2023,Clay,NPK,Furrow/Canal irrigation,22.098
Soybean,0.17,15-06-2025,Silty,NPK,Rainfed,1.016
Wheat,5.17,27-12-2025,Laterite,MOP,Rainfed,2.79
Rice,1.41,08-06-2025,Clay,Urea,Drip Irrigation,4.97
Cotton,0.35,06-04-2025,Clay,MOP,Drip Irrigation,0.508
Groundnut,1.23,20-05-2023,Silty,Urea,Furrow/Canal irrigation,1.39
Sugarcane,0.55,28-01-2025,Sandy,NPK,Flood Irrigation,75.712
Potato,1.84,14-06-2024,Loamy,NPK,Flood Irrigation,25.715
Potato,0.73,09-07-2025,Loamy,Ammonium Sulphate,Furrow/Canal irrigation,24.843
Cotton,1.31,21-07-2025,Loamy,Compost/Organic Manure,Flood Irrigation,0.535
Rice,0.12,09-07-2025,Alluvial,NPK,Flood Irrigation,4.829
Wheat,1.41,18-11-2025,Laterite,NPK,Flood Irrigation,2.805
Cotton,1.93,25-06-2025,Chalky,Compost/Organic Manure,Furrow/Canal irrigation,0.473
Sugarcane,4.03,04-10-2024,Loamy,NPK,Flood Irrigation,92.013
Cotton,3.13,26-04-2024,Sandy,Urea,Furrow/Canal irrigation,0.44
Maize,0.32,03-07-2024,Silty,Compost/Organic Manure,Furrow/Canal irrigation,3.69
Maize,0.65,25-09-2025,Laterite,MOP,Rainfed,3.543
Wheat,2.52,17-12-2024,Clay,DAP,Sprinkler Irrigation,3.295
Rice,1.74,03-06-2025,Alluvial,Compost/Organic Manure,Flood Irrigation,4.335
Maize,0.96,03-06-2025,Silty,Compost/Organic Manure,Rainfed,3.266
Soybean,0.17,08-06-2025,Silty,DAP,Furrow/Canal irrigation,1.126
Cotton,0.38,18-04-2024,Sandy,DAP,Furrow/Canal irrigation,0.419
Potato,1.78,23-07-2025,Clay,NPK,Rainfed,21.76
Wheat,0.55,22-11-2025,Clay,MOP,Drip Irrigation,3.45
Rice,0.47,22-06-2024,Chalky,Compost/Organic Manure,Flood Irrigation,3.961
Maize,2.55,08-07-2025,Loamy,NPK,Furrow/Canal irrigation,4.081
Wheat,0.16,07-11-2024,Alluvial,DAP,Furrow/Canal irrigation,4.005
Sugarcane,4.2,08-10-2024,Laterite,Compost/Organic Manure,Sprinkler Irrigation,89.984
Wheat,2.6,05-11-2025,Laterite,Urea,Drip Irrigation,3.161
Onion,3.47,28-10-2025,Clay,MOP,Rainfed,20.617
Onion,0.27,13-11-2024,Loamy,MOP,Drip Irrigation,27.702
Potato,3.5,17-06-2025,Loamy,Compost/Organic Manure,Furrow/Canal irrigation,27.412
Maize,1.3,11-07-2025,Peaty,Urea,Sprinkler Irrigation,3.857
Soybean,2.73,06-06-2024,Silty,DAP,Rainfed,1.145
Soybean,0.27,07-06-2024,Clay,Compost/Organic Manure,Flood Irrigation,0.877
Maize,3.22,19-09-2024,Peaty,Compost/Organic Manure,Furrow/Canal irrigation,3.352
Potato,2.25,07-02-2024,Loamy,Biofertilizers,Sprinkler Irrigation,31.618
Potato,2.64,28-10-2024,Silty,NPK,Flood Irrigation,24.03
Maize,0.62,13-09-2025,Sandy,Urea,Sprinkler Irrigation,3.254
Wheat,2.38,09-11-2024,Loamy,MOP,Furrow/Canal irrigation,3.645
Wheat,0.25,28-11-2024,Peaty,MOP,Rainfed,2.752
Soybean,2.7,12-06-2025,Loamy,NPK,Furrow/Canal irrigation,1.221
Maize,2.82,15-07-2024,Silty,Urea,Sprinkler Irrigation,3.573
Potato,1.03,28-07-2024,Alluvial,Urea,Flood Irrigation,23.053
Wheat,8.89,21-12-2025,Clay,Compost/Organic Manure,Furrow/Canal irrigation,2.715
Onion,2.68,28-10-2024,Sandy,Compost/Organic Manure,Rainfed,20.683
Onion,1.43,04-05-2024,Sandy,Biofertilizers,Rainfed,14.066
Rice,1.89,04-06-2025,Loamy,Urea,Rainfed,4.183
Potato,4.97,15-07-2024,Silty,Urea,Furrow/Canal irrigation,25.798
Rice,2.1,28-07-2025,Clay,Biofertilizers,Rainfed,3.144
Wheat,2.74,18-12-2024,Loamy,MOP,Rainfed,3.096
Soybean,4.89,12-06-2025,Clay,DAP,Drip Irrigation,1.085
Wheat,0.5,01-11-2024,Sandy,Compost/Organic Manure,Furrow/Canal irrigation,2.928
Wheat,1.46,16-12-2025,Alluvial,NPK,Drip Irrigation,3.8
Maize,0.67,18-09-2025,Clay,NPK,Rainfed,3.141
Maize,1.55,27-07-2025,Clay,DAP,Rainfed,3.412
Wheat,0.99,18-12-2024,Laterite,NPK,Furrow/Canal irrigation,2.873
Rice,1.09,20-07-2024,Clay,Ammonium Sulphate,Rainfed,3.764
Wheat,7.07,01-12-2023,Loamy,Urea,Flood Irrigation,3.644
Groundnut,0.89,01-05-2024,Clay,DAP,Flood Irrigation,1.17
Potato,3.07,11-06-2024,Sandy,Compost/Organic Manure,Sprinkler Irrigation,19.042
Wheat,0.25,06-11-2023,Loamy,Compost/Organic Manure,Furrow/Canal irrigation,3.445
Potato,0.47,13-10-2025,Laterite,NPK,Furrow/Canal irrigation,19.413
Rice,3.63,17-06-2025,Silty,DAP,Flood Irrigation,4.676
Onion,1.23,24-10-2024,Alluvial,NPK,Flood Irrigation,26.442
Soybean,2.55,28-06-2024,Silty,Biofertilizers,Flood Irrigation,0.919
Maize,0.47,19-07-2024,Sandy,Compost/Organic Manure,Drip Irrigation,3.842
Rice,1.39,12-06-2025,Laterite,DAP,Rainfed,4.071
Sugarcane,3.82,02-02-2025,Sandy,MOP,Rainfed,68.766
Potato,4.15,18-11-2024,Laterite,Compost/Organic Manure,Furrow/Canal irrigation,24.066
Maize,0.56,12-07-2023,Laterite,DAP,Drip Irrigation,3.793
Sugarcane,0.22,07-01-2025,Silty,NPK,Flood Irrigation,89.754
Maize,1.62,15-06-2023,Loamy,DAP,Flood Irrigation,3.988
Rice,5.53,20-06-2025,Alluvial,Compost/Organic Manure,Flood Irrigation,4.323
Groundnut,0.86,25-06-2024,Silty,MOP,Flood Irrigation,1.291
Soybean,0.42,02-06-2023,Laterite,Urea,Furrow/Canal irrigation,1.021
Wheat,8.73,19-10-2024,Silty,NPK,Rainfed,3.033
Soybean,4.15,20-06-2023,Chalky,Urea,Furrow/Canal irrigation,1.036
Sugarcane,1.31,12-10-2024,Silty,Biofertilizers,Flood Irrigation,73.264
Maize,2.3,17-07-2025,Sandy,Urea,Flood Irrigation,4.043
Onion,0.4,18-04-2024,Clay,DAP,Rainfed,17.928
Cotton,2.34,24-07-2025,Sandy,MOP,Flood Irrigation,0.424
Maize,7.11,26-09-2025,Loamy,NPK,Flood Irrigation,4.207
Rice,1.27,18-07-2025,Alluvial,DAP,Flood Irrigation,4.581
Groundnut,4.15,20-06-2025,Loamy,NPK,Flood Irrigation,1.578
Cotton,3.74,15-07-2024,Alluvial,Urea,Drip Irrigation,0.534
Wheat,5.89,01-11-2025,Loamy,DAP,Furrow/Canal irrigation,3.653
Rice,2.02,04-06-2025,Sandy,DAP,Sprinkler Irrigation,5.059
Maize,4.16,03-07-2024,Silty,MOP,Sprinkler Irrigation,3.864
Rice,5.45,16-06-2025,Laterite,Ammonium Sulphate,Rainfed,3.593
Potato,2.44,24-01-2025,Laterite,NPK,Furrow/Canal irrigation,21.205
Onion,2.25,14-11-2024,Alluvial,Urea,Furrow/Canal irrigation,27.136
Groundnut,1.1,02-06-2025,Loamy,Urea,Rainfed,1.259
Rice,2.24,15-07-2024,Laterite,MOP,Drip Irrigation,4.648
Maize,14.98,03-10-2024,Clay,Compost/Organic Manure,Rainfed,3.291
Wheat,3.15,05-12-2025,Laterite,NPK,Sprinkler Irrigation,3.209
Maize,1.77,08-06-2025,Sandy,Compost/Organic Manure,Flood Irrigation,3.273
Onion,1.14,14-05-2024,Loamy,DAP,Flood Irrigation,25.926
Sugarcane,0.89,20-01-2025,Laterite,Compost/Organic Manure,Rainfed,76.819
Maize,2.97,05-07-2024,Laterite,Compost/Organic Manure,Drip Irrigation,3.905
Rice,3.3,01-07-2025,Loamy,Compost/Organic Manure,Flood Irrigation,5.156
Maize,0.36,07-09-2024,Silty,Compost/Organic Manure,Rainfed,3.182
Soybean,1.67,13-06-2025,Silty,Ammonium Sulphate,Drip Irrigation,1.088
Rice,2.48,02-07-2024,Clay,Biofertilizers,Drip Irrigation,4.074
Sugarcane,1.08,10-12-2025,Alluvial,MOP,Flood Irrigation,82.091
Maize,1.03,28-07-2025,Silty,Urea,Sprinkler Irrigation,4.01
Onion,0.62,10-06-2023,Loamy,NPK,Sprinkler Irrigation,28.239
Wheat,2.31,08-11-2024,Alluvial,Biofertilizers,Flood Irrigation,3.072
Rice,2.03,18-06-2025,Alluvial,DAP,Flood Irrigation,4.038
Maize,4.08,17-07-2023,Alluvial,MOP,Rainfed,3.239
Wheat,1.56,10-11-2025,Alluvial,DAP,Rainfed,2.951
Wheat,0.93,26-12-2025,Loamy,Urea,Rainfed,3.085
Potato,1.06,21-10-2024,Alluvial,Biofertilizers,Flood Irrigation,26.304
Cotton,1.63,24-05-2024,Sandy,DAP,Furrow/Canal irrigation,0.38
Onion,1.97,05-11-2024,Laterite,Urea,Sprinkler Irrigation,24.517
Groundnut,2.63,20-05-2025,Loamy,Ammonium Sulphate,Flood Irrigation,1.516
Sugarcane,6.33,16-02-2025,Chalky,NPK,Furrow/Canal irrigation,86.682
Maize,5.34,02-06-2024,Clay,Biofertilizers,Furrow/Canal irrigation,3.68
Onion,0.22,25-04-2025,Loamy,Urea,Furrow/Canal irrigation,26.068
Maize,0.31,08-10-2025,Clay,Compost/Organic Manure,Rainfed,3.13
Potato,1.43,17-01-2024,Sandy,NPK,Furrow/Canal irrigation,20.688
Potato,0.83,24-11-2025,Sandy,NPK,Furrow/Canal irrigation,20.488
Onion,3.35,10-05-2024,Laterite,DAP,Sprinkler Irrigation,20.175
Wheat,1.98,15-10-2025,Laterite,NPK,Furrow/Canal irrigation,3.245
Rice,2.62,15-07-2024,Sandy,NPK,Furrow/Canal irrigation,4.087
Potato,0.36,23-07-2023,Silty,Compost/Organic Manure,Sprinkler Irrigation,22.287
Groundnut,0.5,21-06-2024,Loamy,NPK,Flood Irrigation,1.42
Potato,1.59,13-01-2025,Silty,Urea,Sprinkler Irrigation,26.71
Wheat,2.57,06-10-2024,Laterite,Urea,Flood Irrigation,2.919
Groundnut,0.69,04-05-2024,Alluvial,Biofertilizers,Drip Irrigation,1.489
Groundnut,6.69,18-06-2024,Laterite,MOP,Rainfed,1.224
Wheat,1.7,03-11-2024,Silty,Urea,Furrow/Canal irrigation,3.372
Wheat,0.19,02-10-2023,Silty,Urea,Furrow/Canal irrigation,3.503
Sugarcane,1.94,02-12-2024,Sandy,Biofertilizers,Sprinkler Irrigation,84.247
Wheat,3.52,19-12-2025,Loamy,Urea,Furrow/Canal irrigation,3.532
Wheat,0.58,27-11-2025,Silty,DAP,Sprinkler Irrigation,3.636
Sugarcane,1.99,17-01-2025,Loamy,DAP,Drip Irrigation,117.466
Cotton,4.71,14-06-2024,Silty,DAP,Rainfed,0.426
Onion,0.97,17-11-2025,Laterite,NPK,Furrow/Canal irrigation,24.415
Potato,0.74,01-10-2025,Sandy,NPK,Furrow/Canal irrigation,20.987
Groundnut,3.56,14-06-2025,Sandy,DAP,Furrow/Canal irrigation,1.476
Wheat,0.3,26-11-2025,Sandy,DAP,Rainfed,2.261
Groundnut,2.06,13-06-2025,Laterite,MOP,Drip Irrigation,1.622
Rice,0.47,16-07-2025,Laterite,MOP,Rainfed,3.064
Soybean,2.77,24-06-2024,Sandy,NPK,Rainfed,0.812
Sugarcane,0.3,26-11-2024,Alluvial,Compost/Organic Manure,Drip Irrigation,107.634
Rice,0.15,21-07-2024,Silty,Urea,Rainfed,4.496
Rice,1.68,23-07-2025,Alluvial,Ammonium Sulphate,Flood Irrigation,5.227
Rice,0.63,07-07-2024,Silty,Urea,Flood Irrigation,5.044
Rice,1.47,17-07-2025,Sandy,NPK,Rainfed,2.997
Rice,8.91,25-07-2025,Loamy,Compost/Organic Manure,Drip Irrigation,5.496
Onion,1.14,15-04-2024,Clay,Compost/Organic Manure,Drip Irrigation,22.841
Wheat,1.22,28-12-2025,Sandy,NPK,Drip Irrigation,3.504
Cotton,9.58,21-06-2023,Alluvial,DAP,Sprinkler Irrigation,0.598
Wheat,0.37,04-12-2025,Loamy,Urea,Drip Irrigation,3.913
Onion,1.83,18-05-2024,Loamy,Urea,Rainfed,21.72
Wheat,0.74,20-11-2024,Alluvial,NPK,Drip Irrigation,3.606
Rice,0.98,03-06-2024,Clay,Urea,Rainfed,3.498
Soybean,0.24,11-06-2025,Laterite,Compost/Organic Manure,Rainfed,0.759
Cotton,3.32,27-04-2025,Laterite,Ammonium Sulphate,Drip Irrigation,0.487
